customer_id,age,gender,annual_income,tenure_months,contract_type,preferred_payment,support_tickets,monthly_spend,satisfaction_score,churn
CUST_1000,56,Female,,45,Month-to-Month,Electronic Check,4,71.05,1.8,1
CUST_1001,69,Male,,53,Month-to-Month,Electronic Check,1,91.94,1.9,0
CUST_1002,46,Female,106000.0,42,Month-to-Month,Electronic Check,0,85.41,2.9,0
CUST_1003,32,Other,70600.0,63,One-Year,Bank Transfer,4,45.2,2.1,0
CUST_1004,60,Male,69200.0,27,Month-to-Month,Credit Card,5,131.65,1.4,1
CUST_1005,38,Female,88000.0,61,One-Year,Bank Transfer,3,63.15,1.6,0
CUST_1006,36,Female,50200.0,21,Month-to-Month,Credit Card,1,96.88,1.3,0
CUST_1007,64,Male,67000.0,62,Month-to-Month,Electronic Check,2,30.34,1.1,0
CUST_1008,32,Female,37000.0,58,Two-Year,Credit Card,2,139.77,2.2,0
CUST_1009,68,Male,90400.0,22,One-Year,Bank Transfer,3,92.51,2.2,0
CUST_1010,56,Female,71900.0,58,Month-to-Month,Bank Transfer,2,38.35,3.7,0
CUST_1011,20,Female,73700.0,5,One-Year,Credit Card,2,110.15,2.4,0
CUST_1012,57,Male,100100.0,66,Month-to-Month,Bank Transfer,3,96.96,2.0,0
CUST_1013,39,Male,57200.0,25,Month-to-Month,Bank Transfer,2,112.98,2.7,0
CUST_1014,31,Male,77400.0,17,Month-to-Month,Credit Card,2,61.43,2.4,0
CUST_1015,29,Male,26500.0,4,One-Year,Bank Transfer,0,59.39,2.8,0
CUST_1016,19,Female,70100.0,58,Two-Year,Credit Card,3,101.99,1.7,0
CUST_1017,47,Female,98300.0,4,Month-to-Month,Electronic Check,4,142.34,1.2,1
CUST_1018,32,Female,56900.0,30,Month-to-Month,Electronic Check,2,99.93,1.9,0
CUST_1019,48,Female,60900.0,25,Month-to-Month,Bank Transfer,3,68.96,4.0,0
CUST_1020,49,Female,29900.0,26,One-Year,Bank Transfer,2,131.62,1.3,0
CUST_1021,23,Male,84300.0,57,Month-to-Month,Electronic Check,2,109.92,1.3,0
CUST_1022,66,Male,30400.0,12,One-Year,Electronic Check,3,31.7,3.6,0
CUST_1023,41,Female,71300.0,25,Month-to-Month,Bank Transfer,2,135.79,4.2,0
CUST_1024,39,Male,49100.0,13,Two-Year,Electronic Check,2,126.85,3.3,0
CUST_1025,39,Female,66000.0,3,Month-to-Month,Electronic Check,3,143.08,1.4,1
CUST_1026,42,Male,101300.0,51,Two-Year,Electronic Check,2,24.16,3.6,0
CUST_1027,55,Female,37200.0,27,Two-Year,Electronic Check,0,111.44,1.6,0
CUST_1028,61,Female,48000.0,50,Month-to-Month,Electronic Check,4,93.42,4.8,0
CUST_1029,25,Female,64200.0,15,One-Year,Electronic Check,2,130.68,1.5,1
CUST_1030,24,Female,83100.0,34,Month-to-Month,Electronic Check,2,27.35,3.0,0
CUST_1031,38,Male,43000.0,12,One-Year,Bank Transfer,1,69.57,2.8,0
CUST_1032,25,Female,59700.0,42,Month-to-Month,Electronic Check,2,30.31,2.8,0
CUST_1033,29,Female,31400.0,55,Month-to-Month,Bank Transfer,0,76.54,2.9,0
CUST_1034,55,Male,82200.0,18,One-Year,Electronic Check,2,98.26,,0
CUST_1035,38,Female,69800.0,2,Month-to-Month,Electronic Check,1,109.33,4.0,0
CUST_1036,41,Female,47700.0,38,Month-to-Month,Credit Card,5,83.98,3.2,1
CUST_1037,39,Male,38300.0,32,Month-to-Month,Bank Transfer,0,109.11,2.8,0
CUST_1038,66,Female,70400.0,52,Month-to-Month,Credit Card,5,108.77,2.9,1
CUST_1039,45,Female,71300.0,42,One-Year,Bank Transfer,1,38.83,3.7,0
CUST_1040,66,Male,34100.0,3,Month-to-Month,Bank Transfer,2,112.2,4.4,0
CUST_1041,53,Male,67100.0,31,One-Year,Credit Card,2,63.14,2.1,0
CUST_1042,25,Female,74600.0,44,One-Year,Bank Transfer,3,131.75,2.7,0
CUST_1043,20,Female,58200.0,36,Month-to-Month,Credit Card,3,121.36,3.4,0
CUST_1044,66,Female,40700.0,40,Month-to-Month,Credit Card,4,136.03,3.9,0
CUST_1045,24,Female,69900.0,38,Month-to-Month,Bank Transfer,2,91.8,2.7,0
CUST_1046,28,Female,53100.0,50,Two-Year,Electronic Check,4,124.96,3.4,1
CUST_1047,40,Female,68000.0,21,Month-to-Month,Electronic Check,3,149.25,4.7,0
CUST_1048,60,Male,49000.0,10,One-Year,Credit Card,2,22.3,1.9,0
CUST_1049,58,Female,,19,Month-to-Month,Bank Transfer,1,104.53,4.4,0
CUST_1050,56,Female,42900.0,59,Month-to-Month,Credit Card,4,84.09,2.8,0
CUST_1051,66,Female,68300.0,24,Month-to-Month,Credit Card,2,118.89,4.1,0
CUST_1052,58,Male,44600.0,17,One-Year,Credit Card,3,81.3,1.6,0
CUST_1053,47,Male,101100.0,43,Month-to-Month,Credit Card,3,126.96,3.8,0
CUST_1054,66,Male,34400.0,63,Month-to-Month,Credit Card,3,109.11,3.4,0
CUST_1055,42,Male,90400.0,15,Month-to-Month,Bank Transfer,5,71.01,3.2,0
CUST_1056,58,Male,47600.0,71,Month-to-Month,Bank Transfer,1,106.96,2.0,0
CUST_1057,41,Male,74200.0,35,Two-Year,Bank Transfer,5,103.74,4.2,0
CUST_1058,69,Male,68400.0,29,Month-to-Month,Electronic Check,3,131.78,2.0,1
CUST_1059,62,Female,39700.0,51,Two-Year,Bank Transfer,3,63.95,3.6,0
CUST_1060,57,Female,71100.0,35,Month-to-Month,Bank Transfer,0,131.62,1.3,0
CUST_1061,50,Male,67200.0,12,One-Year,Electronic Check,4,136.21,1.1,1
CUST_1062,55,Female,74800.0,44,Two-Year,Credit Card,3,84.87,1.6,0
CUST_1063,60,Male,63900.0,42,Month-to-Month,Electronic Check,1,135.63,4.9,0
CUST_1064,28,Male,39100.0,12,Month-to-Month,Bank Transfer,2,36.52,4.8,0
CUST_1065,36,Female,59400.0,5,One-Year,Credit Card,0,93.47,4.3,0
CUST_1066,32,Female,66500.0,13,One-Year,Credit Card,3,124.63,2.4,0
CUST_1067,41,Female,110200.0,64,Month-to-Month,Bank Transfer,3,81.18,4.1,0
CUST_1068,52,Male,96100.0,20,Month-to-Month,Credit Card,1,128.25,2.1,0
CUST_1069,63,Female,101500.0,40,Two-Year,Credit Card,1,114.73,3.7,0
CUST_1070,30,Male,75600.0,69,Two-Year,Electronic Check,2,32.41,2.0,0
CUST_1071,28,Male,65300.0,46,Month-to-Month,Bank Transfer,3,76.59,4.4,0
