DELITOS COMETIDOS EN JUJUY - MUESTRA;;;;;;;;;;;
;;;;;;;;;;;
;dependencia;delito;;;victima;;inculpado;;delito;;
;ordinal;nominal;ordinal;ordinal;nominal;discreta;nominal;discreta;nominal;nominal;nominal
cod_lugar;comisaria;delito;fecha;hora;sexo_victima;edad_victima;sexo_inculpado;edad_inculpado;localidad;modus_operandis;detalle_de_lugar
1;45;HURTO;3/7/2018;19:00;FEMENINO;31;FEMENINO;;SAN SALVADOR DE JUJUY ;AGRESION CON ARMA BLANCA;Comercio
1;49;ROBO;28/6/2018;13:50;FEMENINO;33;FEMENINO;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Via Publica
1;9;ROBO;4/7/2018;21:45;FEMENINO;22;MASCULINO;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Via Publica
1;47;HURTO;18/8/2018;22:00;MASCULINO;83;FEMENINO;;SAN SALVADOR DE JUJUY;AGRESION CON SUSTANCIAS;Domicilio Particular
1;37;HURTO;18/7/2018;21:40;MASCULINO;36;FEMENINO;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
1;35;ROBO;23/7/2018;05:30;FEMENINO;54;MASCULINO;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Via Publica
1;6;ROBO;27/7/2018;09:40;FEMENINO;26;MASCULINO;;;AGRESION FISICA;Via Publica
1;14;ROBO;11/7/2018;19:20;MASCULINO;43;MASCULINO;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;9;ROBO;24/7/2018;22:30;MASCULINO;38;MASCULINO;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;20;HURTO;28/6/2018;00:00;FEMENINO;53;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;43;ROBO;30/7/2018;19:00;FEMENINO;39;;;SAN SALVADOR DE JUJUY;AGRESION FISICA;Via Publica
1;6;HURTO;9/7/2018;19:15;FEMENINO;33;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;47;ROBO;10/7/2018;17:00;FEMENINO;33;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;25;ROBO;10/7/2018;16:00;FEMENINO;27;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;21;ROBO;10/7/2018;19:45;FEMENINO;30;;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Via Publica
1;38;ROBO;13/7/2018;16:40;FEMENINO;30;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;18;ROBO;14/7/2018;02:10;FEMENINO;34;;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Domicilio Particular
1;46;HURTO;19/7/2018;04:00;FEMENINO;27;;;SAN SALVADOR DE JUJUY;AGRESION FISICA;Domicilio Particular
1;3;HURTO;19/6/2018;18:50;FEMENINO;29;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;22;ROBO;2/8/2018;07:30;FEMENINO;28;;;SAN SALVADOR DE JUJUY ;AGRESION CON SUSTANCIAS;Comercio
1;18;ROBO;10/8/2018;13:30;FEMENINO;18;;;SAN SALVADOR DE JUJUY ;Agresión Física;Via Publica
1;53;ROBO;14/8/2018;15:30;FEMENINO;38;;;SAN SALVADOR DE JUJUY ;Agresión Física;Via Publica
1;1;HURTO;20/8/2018;20:55;FEMENINO;40;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;64;ROBO;29/6/2018;20:45;MASCULINO;34;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
1;39;HURTO;30/6/2018;19:00;MASCULINO;37;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;19;HURTO;4/7/2018;05:15;MASCULINO;24;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;20;ROBOS;5/7/2018;01:00;MASCULINO;23;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;51;ROBO;5/7/2018;00:00;MASCULINO;25;;;SAN SALVADOR DE JUJUY ;AGRESION CON ARMA DE FUEGO;Via Publica
1;60;ROBOS;7/7/2018;08:15;MASCULINO;41;;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Via Publica
1;5;HURTO;10/7/2018;00:30;MASCULINO;47;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
1;27;ROBO;9/7/2018;02:00;MASCULINO;24;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;47;hurto;4/7/2018;22:30;MASCULINO;69;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;37;ROBO;9/7/2018;02:00;MASCULINO;24;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Domicilio Particular
1;47;HURTO;13/7/2018;17:00;MASCULINO;35;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;64;ROBOS;13/7/2018;23:30;MASCULINO;33;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;3;ROBO;13/7/2018;14:15;MASCULINO;26;;;;AGRESION FISICA;Via Publica
1;53;HURTO;14/7/2018;01:30;MASCULINO;35;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;51;ROBO;14/7/2018;12:02;MASCULINO;44;;;SAN SALVADOR DE JUJUY ;AGRESION CON ARMA BLANCA;Via Publica
1;23;HURTO;15/7/2018;23:45;MASCULINO;22;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;32;ROBOS;14/7/2018;20:00;MASCULINO;42;;;;AGRESION CON ARMA BLANCA;Via Publica
1;63;hurto;26/7/2018;00:00;MASCULINO;22;;;SAN SALVADOR DE JUJUY ;SUSTRACCION DE BIENES RODADOS;Via Publica
1;35;ROBO;29/7/2018;06:30;MASCULINO;35;;;SAN SALVADOR DE JUJUY ;AGRESION FISICA;Via Publica
1;5;ROBO;6/8/2018;21:45;MASCULINO;29;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
1;13;ROBO;7/8/2018;00:00;MASCULINO;31;;;SAN SALVADOR DE JUJUY ;Sustracción Bienes Rodados;Via Publica
