feature1,feature2
1.09,0.27
0.28,0.91
-0.01,-0.08
-0.48,-0.65
-0.94,0.40
0.04,-0.03
-0.05,0.01
0.17,-0.04
0.04,0.24
1.12,0.04
0.03,-0.05
0.17,-0.06
0.06,-0.20
-0.40,-0.97
1.15,-0.23
-0.54,0.91
0.78,0.68
0.51,0.85
1.09,-0.09
-0.08,0.06
0.16,1.09
-0.06,-0.17
1.04,-0.36
0.08,-0.04
-0.07,0.19
-0.04,0.11
-0.00,0.15
-0.02,0.10
-1.05,-0.06
-0.35,-0.86
0.91,-0.43
0.72,-0.58
-0.14,-0.04
0.77,-0.55
0.27,-1.00
-0.37,1.10
-0.87,0.49
-0.10,0.07
-0.14,0.95
-0.27,-1.03
0.39,-0.84
0.78,0.54
0.08,0.20
-0.11,0.01
-0.14,0.02
0.80,0.42
-0.88,0.42
0.06,0.12
-0.57,0.80
0.15,0.03
-0.46,-0.79
-0.80,0.51
-0.14,0.08
-0.07,0.02
0.04,0.14
-0.51,0.91
-0.21,-1.11
-0.66,0.76
0.29,-0.74
0.00,1.05
-0.02,-0.00
0.01,0.19
-0.87,0.79
0.21,-0.03
0.15,0.09
-0.09,0.05
0.07,-0.05
-0.08,-0.05
0.16,0.07
0.16,0.96
-0.03,-0.17
1.01,-0.35
-0.16,-0.12
0.12,0.21
0.19,0.27
-0.16,-0.88
0.10,0.03
-0.03,-0.16
1.19,-0.12
-0.09,0.05
0.98,-0.16
-0.13,0.29
0.30,-0.81
-0.47,-0.87
0.84,0.50
0.03,0.12
0.06,-0.16
0.07,-0.12
0.86,-0.72
-0.12,-0.05
0.95,-0.07
-0.05,0.01
-0.24,0.01
-0.02,0.32
-0.08,0.01
0.10,0.09
0.20,-0.16
0.13,-1.11
-1.11,-0.03
0.17,0.94
0.78,-0.55
-0.00,1.06
-0.06,0.26
-0.09,-0.02
0.04,-0.03
-0.10,0.16
-0.14,0.01
0.62,0.73
0.33,0.95
-0.80,0.16
0.62,-0.81
0.14,-0.00
0.06,-1.02
-0.39,-0.84
-0.18,0.07
-0.14,-0.07
-0.15,-0.09
-0.86,0.64
-0.03,0.15
0.08,0.14
0.63,0.07
-1.00,0.17
-0.09,0.07
-0.85,-0.38
0.01,0.09
-0.77,-0.65
-0.02,-0.06
-0.63,0.82
1.08,-0.33
-0.55,-0.83
0.84,-0.59
0.52,0.94
0.06,0.05
0.91,0.27
0.00,0.01
0.85,0.53
-0.20,-0.07
-0.84,0.72
-0.13,-1.07
0.49,0.86
-0.68,0.79
0.16,0.00
-0.03,0.13
-0.61,-0.61
-0.84,-0.19
-0.07,-0.14
-0.16,-0.03
-0.10,-0.13
-0.12,-0.05
0.12,-0.26
1.02,-0.38
-0.11,-0.90
-1.15,-0.10
-0.51,0.87
0.04,0.11
0.10,-0.06
0.45,0.87
1.02,-0.82
0.71,0.67
-0.09,-0.20
0.56,0.94
0.03,0.14
0.13,0.01
0.19,0.02
0.10,-0.01
-0.76,0.63
0.14,0.19
0.94,-0.54
-0.12,0.09
0.48,0.68
0.05,-0.13
0.03,0.13
0.17,0.02
0.05,0.09
-0.12,0.18
-0.75,-0.40
-0.15,0.08
-0.12,-0.07
0.88,0.46
-0.02,-0.93
0.91,0.61
0.11,0.06
0.12,0.04
-0.15,-1.03
-0.53,0.66
-0.09,0.06
1.01,0.16
-0.25,0.98
0.02,0.09
-0.12,0.03
0.69,-0.53
-0.81,0.47
-0.52,-0.77
-0.02,-0.01
-0.72,-0.84
0.01,-0.09
-0.01,0.11
0.31,-1.15
-0.35,1.05
-0.87,0.35
0.70,-0.84
-0.02,-0.11
-0.10,-0.01
0.06,-0.15
-0.20,0.87
0.77,0.80
0.91,0.48
0.19,1.10
1.02,0.16
-0.03,-0.94
0.62,0.77
-0.02,0.04
0.06,0.01
-0.79,0.67
-0.40,0.93
-0.06,-0.10
-0.60,0.61
0.11,-0.05
-0.65,0.62
0.06,1.01
0.49,-1.06
0.95,-0.14
0.09,0.01
0.70,-0.77
0.04,0.08
0.73,0.71
0.28,-0.00
-0.22,-0.21
0.55,-0.72
0.44,0.82
-0.09,0.24
0.81,-0.22
0.52,-0.93
0.07,-0.10
-0.91,-0.41
0.11,0.19
-0.02,-0.17
1.05,-0.36
0.63,0.89
-0.23,1.00
-0.06,0.09
-0.08,-0.04
-0.62,-0.66
0.06,-0.11
0.76,0.52
0.51,-0.83
-0.06,-0.27
1.06,-0.34
0.08,-0.84
0.11,-0.91
-0.92,-0.22
-0.14,0.12
-1.09,-0.07
0.18,0.07
0.75,-0.68
1.12,-0.06
0.03,-0.15
-1.01,-0.30
-0.56,-0.61
-0.05,-0.03
0.93,-0.29
0.13,-0.03
0.01,0.04
-0.26,-1.13
-0.03,-0.01
0.02,0.94
0.17,-0.03
1.16,0.17
-0.72,0.94
-0.47,-0.87
-0.98,0.41
-0.59,0.69
-0.68,-0.36
-0.38,1.11
-0.89,0.45
-0.01,0.02
0.15,-1.02
0.54,0.70
-0.14,0.09
0.11,0.13
0.18,0.10
0.20,-0.08
0.68,-0.77
-0.07,-0.26
-0.23,1.00
-0.06,-0.87
0.02,0.02
0.77,0.49
-0.88,-0.72
0.64,0.78
-1.03,0.32
-1.03,-0.13
0.82,0.27
0.33,-0.74
-0.70,-0.81
-0.09,-0.11
-0.89,-0.14
-0.80,0.43
0.82,-0.42
-0.16,0.86
0.46,-0.88
-0.97,0.09
0.14,0.12
0.88,0.57
0.08,0.04
-0.13,0.29
0.01,-0.93
-0.09,-1.16
-0.08,0.17
0.15,1.04
0.26,-0.01
-0.69,-0.52
0.03,0.02
0.85,0.33
0.11,0.01
-0.09,0.20
0.02,-0.02
-0.26,0.01
-0.04,0.17
0.64,0.82
0.08,0.18
0.35,0.99
1.08,-0.38
0.55,0.80
0.04,-0.10
-0.20,-1.00
-0.20,-0.07
-0.04,0.03
-0.03,0.22
0.78,-0.61
0.29,0.29
0.00,1.03
-0.02,0.06
-0.95,-0.44
0.05,-0.15
0.35,1.06
0.03,-0.20
